"year","avg_violent_crimes","avg_videogame"
1984,0.661584769946445,1.80788047292479
1985,0.668821920929703,1.80871022256114
1986,0.690722849493656,1.80884029711578
1987,0.673506948545333,1.80967765046319
1988,0.679369792955539,1.81011726857734
1989,0.774390000399345,1.80979265769958
1990,0.907774898912574,1.80798987784722
1991,1.0111221340388,1.80795279849723
1992,1.09746682750302,1.80822237439841
1993,1.03907382105743,1.80782294417973
1994,1.22462344466274,1.80829196875294
1995,1.23858700373556,1.80797835694541
1996,1.03367726224045,1.80819622207064
1997,1.06189186809316,1.80716114395744
1998,0.962018973810797,1.80691485394317
1999,0.830382701369622,1.80676596143898
2000,0.769285501890319,1.80696834468455
2001,0.774220454253818,1.80709535988051
2002,0.651167496256728,1.80760657519646
2003,0.620389863547758,1.80869502966345
