"STATEFIP","avg_violent_crimes","avg_videogame"
1,0.217788861180382,1.85542168674699
2,1.08527131782946,1.7878453038674
4,1.74530136098509,1.82194244604317
5,0.299378569029224,1.81527093596059
6,2.45164228341939,1.7641477465266
8,0.84749531835206,1.78439153439153
9,1.03931527464259,1.78962131837307
10,1.09966216216216,1.79375
11,36.3257575757576,1.796875
12,2.03619286910744,1.794474393531
13,0.57056859126461,1.83203125
15,5.30776515151515,1.76875
16,0.330319469559976,1.77820512820513
17,0.550598631698974,1.82120051085568
18,1.07907754983268,1.84335664335664
19,0.266296070667073,1.81898734177215
20,0.279333333333333,1.82758620689655
21,0.328692962103635,1.8118609406953
22,1.38157671418873,1.85679611650485
23,0.0991137051448335,1.80384087791495
24,2.37688198154444,1.81024096385542
25,0.84858662188637,1.75197889182058
26,0.56849133189181,1.79747675962815
27,0.320337411939192,1.86863905325444
28,0.352043753598158,1.80858085808581
29,0.823436262866192,1.84
30,0.193579766536965,1.80829015544041
31,0.154931737996625,1.832
32,1.50054466230937,1.81068702290076
33,0.093392008941045,1.82699868938401
34,0.795230381569474,1.79377713458755
35,0.817059851463521,1.77755511022044
36,2.61503401360544,1.80742358078603
37,0.649503005085529,1.82477678571429
38,0.086301044634378,1.82640949554896
39,0.690916318823296,1.80596107055961
40,0.357140243009808,1.82432432432432
41,0.436665535188957,1.81962481962482
42,0.672916269614383,1.79561200923788
44,0.793190249072602,1.84110535405872
45,0.539831981460023,1.82888888888889
46,0.205322736030829,1.81770145310436
47,0.449383381226054,1.81553398058252
48,0.681988843595795,1.79977439368302
49,0.660390946502058,1.7925430210325
50,0.0789817232375979,1.83965517241379
51,0.370421498251426,1.79971791255289
53,0.673152454780362,1.84562841530055
54,0.0683479532163743,1.78936605316973
55,0.58947696139477,1.83806146572104
56,0.105508623724041,1.82450832072617
